,estimated_yield,matched_crop
"banana, bananier, pisang, saging, nget pyo thee, cheek ham' vaa, kwhyz, kluai, chuoi, muz",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"banyan tree, banya, Bengal fig, vada tree, figueira de Bengala, figueira da India, arvore da gralha, palmatoria do inferno, bar, bargad, bor, vad, vadlo, vor, bahupada, vata, bot, vada, wad, war, marri, peddamari, vati, al, alam, ala, alada mara, vatam",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"baobab, monkey bread tree, fony",2182.7,broad beans and horse beans dry
barbasco,23316.9,bananas
"barberry, European barberry, common barberry, jaundice berry, piprage, uva-espim, berberis, surtorn, vanlig berberis, berberiss, almindelig berberis, ruostehappomarja, gewÃ¶hnliche Berberitze, Berberidis fructus",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"bard vetch, ervilha parda, parda, garroba",2182.7,broad beans and horse beans dry
"barinas nut, inchi",1208.5,karite nuts sheanuts
"barley, cebada, orge, damai, cevada, gebs, Gerste",9920.2,mangoes guavas and mangosteens
"barnyard grass, cockspur grass, goosefoot grass, milha(n) pe' de galo, sanvo'",18548.6,chillies and peppers green capsicum spp and pimenta spp
"barrel medick, barrel clover, luzerna barril",1485.3,kenaf and other textile bast fibres raw or retted
"barsunga, pindosin, pyim daw thein, karry blad, kerriebladeren, curry leaves, nim leaves, feuilles de Cari, feuilles de curry, caloupilÃ© (RÃ©union), carripoulÃ© (Ile Maurice), CurryblÃ¤tter, mitho limdo, meetha neem, kari patta, katneem, bursunga, curry levelek, karrÃ­lauf, daun kari, fogli di Cari, karibevu, khi be, daun kari pla, karupillam, kareapela, karipat, karhi patta, basango, bowala, girinimba, suravi, karapincha, hoja, bizari, mchuzi, bignay, karuvepila, karuveppilai, karepeku, karivepaku, bai karee, chalcas koenigii",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"barwood, camwood, African sandalwood, baru",2182.7,broad beans and horse beans dry
"basil, sweet basil, common basil, basilic, Basilikum, Basilienkraut, basilico, albahaca, basilkort, raihan, basilicum, manjericao, bazilik, maboki, lo-le, Basilici herba, Aetheroleum basilici",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"bastard mahogany, bangalay eucalyptus, swamp-mahogany, eucalipto falso-mogno",19046.1,onions and shallots dry excluding dehydrated
"basul, balÃ¹, antipurutu, baluy, chachafruto, chafruto, sachafruto, sachapuruto, calÃ¹, frisol ca1Ã¹, nopas, pajuro, sachaporoto, sacha purutu",13822.2,edible roots and tubers with high starch or inulin content nec fresh
bataua,23316.9,bananas
"bay leaves, laurel leaves, laurel, laurier, Lorbeer, Lorbeerbaum, lager, ghar, alloro, loureiro, lauerbÃ¦r blade, lavr, gekkeiju, yueh-kuei",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"bdellium, African myrrh, hairy corkwood, bdelio, angka, gafal, mbambara, mturituri",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"bean-pod tree, igonda, msasa, musasa, mrihi, mriti, myombo",9920.2,mangoes guavas and mangosteens
"bearberry, bear's-grape, fox plum, creashak, larb, Indian wort, sandberry, kinnikinick, mealberry, hog-cranberry, uva-ursina, uva de urso, medronheiro ursino",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"beech, European beech, Irish fea, buche, rotbuche, faggio, hÃªtre, faia europeia, haya, bok, bÃ¸k, bÃ¸g, pyÃ¶kki",13822.2,edible roots and tubers with high starch or inulin content nec fresh
"beechwood, Transvaal beech, African beech, faia africana, boekenhout, transvaalboekenhout, mongena, mohlako, n'wamidzumba, monyena, mofufu, mutango, isafo, isefo, red boekenhout, rooiboekenhout, bosveldboekenhout, isiqalaba, isidwadwa, umonyela, umcalathole",13822.2,edible roots and tubers with high starch or inulin content nec fresh
beef wood,480.5,cocoa beans
"beggar's tick, cobbler's pegs, common blackjack, black jack, Spanish needle, farmer's friend, pitchforks, shepherd's needles, butterfly needles, needleandthread, piquants noirs, amor seco, picao preto, cuamba, xian feng cao, chegogit, fisi'uli, kofe tonga, kofetoga, batimadramadra, mbatimandramandra, mbatikalawau, matakaro, matua kamate, ki, ki nehe, ki pipili, ko'oko'olau, ki nahelehele, nehe, gewone knap-se-kÃªrel, knapsakkerwel, umhlabangubo, amalenjane, isikhathula, ugamfe, ucucuza, umesisi, uqadolo, piripiri (Cook Islands), tae puaka (Futuna)",13822.2,edible roots and tubers with high starch or inulin content nec fresh
"bella umbra, belhambra, belombra, bella sombra, monkey grape, ombu, umbra, dikboom, bela sombra",6582.4,broad beans and horse beans green
"belladonna, deadly nightshade",14911.8,other beans green
"ber, cottony , Indian jujube, desert apple, Chinese apple, jujubier, anafega da India, widara, bidara, manzanitas, phutsaa, putrea, than, tao nhuc, sidr, beri, gob, abateri, wag'n bietjie, mkunazi, gava, ghob, gheb, jumuba, kurkura (Galinya, Harar), gusura (Afargna)",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
bergamot orange,20459.3,oranges
"betel nut palm, betel nut, arecanut, areca nut, areca palm, betel palm, Arekapalme, noix d`arec, Betelnusspalme, Iburu (Simbo), heta (Roviana), buai, kabibi, Arecae semen, Semen arecae, Nuces arecae, Ping lang, arequier, supari, pinang, gua, adike, kamuya, poka-vakka, kun, thamul, adikke, aakkamaram, kavungu, pophal, kamugu, pakku maram, vakka",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"betel, betel leaf, betel leaf pepper, betel leaf vine, betel vine, betel pepper, Piper Folium, alfavaca de cobra, cobrinha, wara tumbul, buyo, buyo-buyo, buyo anis, ikmo, ikmong iloko, itmo, manin, buyog, buyu, gaoed, gaued, gok, kanisi(bisayan), manon(bisayan), lau, mjÃ u, thÃ´ lau dÃ ng, trÃ¢u khÃ´ng, trÃ¢u cay, trÃ¢u luong, namat, nanin(bisayan), paan, pan, tambuli, tanbol, phlu, samat, samok, se keh, serih",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
betony,755.1,beans dry
"bignay, Chinese laurel, blackcurrant tree, salamander tree, antidesme, antidesma da China, cardoeira, buni, wuni, huni, bunch, paginga, isip, kho liÃªn tu, baa mao ruesee, mamao dong, mao chaang, chiÃ²i mÃ²i",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"bilberry, blueberry, moorberry, hartberry, hurtleberry, whortleberry, dwarf bilberry, whinberry, blÃ¥bÃ¦r, mirtilho, mirtilo, arando, airela, myrtille, Heidelbeere, mirtillo",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
bimble box,2711.2,soya beans
"bird's-foot trefoil, birdsfoot trefoil, bloom-fell, crow toe, sheep foot, shoes-and-stockings, babies'-slippers, cat-clover, geelblom lusern, hoenderspoor klawer, serradela, cornilhao",1485.3,kenaf and other textile bast fibres raw or retted
"bistort, European bistort, meadow bistort, English serpentary, bistorta",6582.4,broad beans and horse beans green
"biting stonecrop, mossy stonecrop, golden carpet, goldmoss stonecrop, bird's-bread, love-entangle, wall grass, pao de passaros, pimenta das paredes, saiao-acre",18548.6,chillies and peppers green capsicum spp and pimenta spp
"bitter dock, blunt-leaved dock, red-veined dock, labacol",1485.3,kenaf and other textile bast fibres raw or retted
"bitter gourd, balsam pear, band carilla",2182.7,broad beans and horse beans dry
"bitter potato, choquepito, ococuri, luki, ruke",9198.5,other citrus fruit nec
"bitter vetch, lentil vetch, pigeonÂs pea, French erse, lenteja bastarda, lentille bÃ¢tarde, pois de pigeon, kirsannah, kuyewandou, Linsenwicke, ervilha de pombo, erven, erfva, erve, orobo, erb, pesette, ervum, alarceÃ±a, alcarceÃ±a, alcarraceÃ±a, alcaruna, alliez, alverja, alverjana, arveja, capogirlo, cicerchia, comin, er, eros, erp, ers, erse, Ervenlinse, Ervenwicke, ervil, ervilier, ervilla, ervilliere, ervo, ervos, Eselsohren, essez, faux orobe, fregellini, gero, girlo, girÃ³n, goirils, Gute erve, herb, herÃ©n, herp, hiero, ingrassabue, jarosse, Kamellinse, aersana, kirsene, kirsenne, Knotenerve, KnotenfrÃ¼chtige Wicke, kursenne, lentille ers, lentille ervilliÃ¨re, lentille noir, leri, lero, marroiÃ§o, marroio, marruiÃ§o, mochi, mocho, moco, mosch, officinal tare, orobe bÃ¢tard, orobes des boutiques, orobo das boticas, orobos, pois mauresque, rhobidia, robai, robi, rubiglia, Saaterve, Saatwicklinse, seros, Stachelwicke, Steinlinse, straccabue, titos, tragellini, vÃ¨ccioli, vÃ¨ggioli, vesce amÃ©re, vesce",13822.2,edible roots and tubers with high starch or inulin content nec fresh
"bitterleaf, grawa, ebicha (Galinya), dumoga (Harar), dumoga (Galinya)",3229.8,chillies and peppers dry capsicum spp pimenta spp raw
"black afara, framire",596.6,bambara beans dry
"black bentgrass, agrostide grande",6582.4,broad beans and horse beans green
"black bryony, black bindweed, murraim berry, houndsberry, lady's-seal, fruesegl, baganha, uva de cao, norca preta, tamo",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
black cohosh,480.5,cocoa beans
"black currant, schwarze Johannisbeere, Ribis nigri folium, Ribis nigri fructus",13822.2,edible roots and tubers with high starch or inulin content nec fresh
"black cutch, catechu, Cutch, Dark Catechu, Black Catechu",1160.1,other nuts excluding wild edible nuts and groundnuts in shell nec
"black cyprus pine, cyprus pine",9198.5,other citrus fruit nec
"black gram, urd, urid, mung bean, bean - mung",6582.4,broad beans and horse beans green
"black medick, hop medick, nonesuch, yellow trefoil, luzerna lupulina, lupulina",1160.1,other nuts excluding wild edible nuts and groundnuts in shell nec
"black monkey thorn, swartapiesdoring, nkasinga, mokgwa, umkhaya wehlalahlathi, back-monkey acacia",1160.1,other nuts excluding wild edible nuts and groundnuts in shell nec
"black mulberry, murier noir, gelso, maulbeerbaum, amoreira preta, mora negra",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"black mustard, brown mustard, mustard, red mustard, yellow mustard, wedlock, yellow mustard seed, indian mustard, moutarde noire, moutarde brune, moutarde de l'Inde, moutarde de Chine, chou noir, mostaza negra, mostaza de India, khardal aswad, mostarda negra, mostarda preta, senape nero, brunsenap, svartsenap, sennep, sort sennep, bruine mosterd, zwarte mosterd, junceamosterd, sareptamosterd, must kapsasrohi, mustardo, sinapo, mustasinappi, moster, Schwarzer Senf, Schwarz Senf, Senfkohl, Braunsenf, kruv shachor, hardal shador, fekete mustÃ¡rmag, barna mustarmag, svartsennep, kapusta czarna, kapusta gorczyca, gorczyca czarna, gorchÃ­tsa chÃ«rnyi, kara hardal, siyah hardal, tohumu, moustarda, sinaposporos, mustaroskorn, mustasa, kadugu, senafich, rai, lal sarsu, biji savi, mohari, spandaan, kuro garashi, krishnikaa, abba, haradali",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"black nightshade, blackberried nightshade, common nightshade, poison berry, morelle noir, hierba mora, guaraquinha, key-awuti, schwarzer nachtschatten, nattskatta, svartsÃ¸tvier, mustakoiso, karakap, sort natskygge, boro ni veiwere, Qaqata (Konsogna), A'ena (Wolayetgna), Awitt (Amargna)",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
black oak,2711.2,soya beans
"black pepper, Madagascar pepper, pepper, pimienta, poivre, pfeffer, pimenta preta, pimenta do reino, peppar, filfil aswad, peper, pepe, pimenta, pyerets, kasho, hu-vhiao",18548.6,chillies and peppers green capsicum spp and pimenta spp
"black raspberry, blackcap raspberry, framboise noire, frambuesa negra, framboeza preta",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"black rosewood, blackwood, Bombay blackwood, Malabar rosewood, East Indian rosewood, Rosetta rosewood, pau-preto",1485.3,kenaf and other textile bast fibres raw or retted
"black sapote, black persimmon, zapote negro",27043.7,cantaloupes and other melons
"black velevet, velvet tamarind, tamarinier noir, kedebe, mako, meko, mekohi, icheku, kosito, solam, solom, awin",13822.2,edible roots and tubers with high starch or inulin content nec fresh
"black wattle, swartwattel",1485.3,kenaf and other textile bast fibres raw or retted
"black-eyed pea, cow pea, cowpea, crowder pea, southern pea",3229.8,chillies and peppers dry capsicum spp pimenta spp raw
"blackberry, scaldberry, bramble, ronce commune, brombeere, brombÃ¦r, silva das amoras, amora silvestre, amora de silva, sarca",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
blackeyed pea,8074.5,peas green
"bladder-pod, Fendlers bladderpod, yellow-top, desert mustard",19046.1,onions and shallots dry excluding dehydrated
"blessed thistle, holy thistle, St. Benedict thistle, karmedic, chardon benit, Benediktendistel, Cardui benedicti herba, Cnici benedicti herba",13822.2,edible roots and tubers with high starch or inulin content nec fresh
"blimbi, kamrakh, Bilimbi, Tree cucumber",44579.4,cucumbers and gherkins
bloodwood,10963.3,avocados
"blue clitoria, butterfly-pea, cordofan-pea, bejuco de conchitas, campanilla, chorreque azul, conchita de mar, papito, zapatillo de la reina, clitore de ternate, Blaue Schmetterlingswicke, fagiolo indiano",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
blue grass,6548.2,blueberries
"blue jack oak, sand jack oak, high-ground willow oak, upland willow oak",1160.1,other nuts excluding wild edible nuts and groundnuts in shell nec
"blue lupine, narrow-leaved lupine, European blue lupine, blaue Lupine, schmalblÃ¤ttrige Lupine, lupin, lupino azul, lupino, sinilupiini, kapealehdykkÃ¤inen lupiini, blÃ¥lupin",1160.1,other nuts excluding wild edible nuts and groundnuts in shell nec
blue mountain ash,17031.8,lemons and limes
blue wildrye,755.1,beans dry
blue-leaf stringbark,10207.0,string beans
"bluebunch wheatgrass, beardless wheatgrass, agropiro desbarbado",6582.4,broad beans and horse beans green
blush tulip oak,1007.5,buckwheat
bogbean,755.1,beans dry
"borage, borag, stoffÃ©rblomma, agurkurt, hjulkrone, purasruoho, borretsch, Boraginis semen, Boraginis herba, Oleum Boraginis",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"borasusspalm, zembaba, deleib, chibangalala, kakoma, kambili, African fan palm, borassus palm, palmyra palm, ron palm, rÃ´nier, dubbi, giginya, ubiri, kankoma, mukulwani, mulala, katuugo, nyalango, rhun, sibo, mvumo, abgon-eye",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"box, boxwood, American box, English boxwood, Turkish boxwood, buis, bosso, buxo, buxo vulgar, boj",1160.1,other nuts excluding wild edible nuts and groundnuts in shell nec
"braacatinga, bracatinga",6379.6,plantains and cooking bananas
"branching onion, Spanish onion, Japanese bunching onion, chibol, Spring onion, stone leek, Japanese leek, Welsh onion, ceboleta de Espanha",13822.2,edible roots and tubers with high starch or inulin content nec fresh
"bread grass, signal grass, pallisade grass, Ceylon sheep grass, pallisade signal grass, St. Luica grass (En), brachiaria de Abisinia, estrella de Africa, pasto alambe, pasto senal, senal, zacate senal, zacate signal (Sp), brizantao, brizantha, braquiarao, capim braquiaria, capim Marandu, capim ocinde, Marandu (Pt), Ya siknaentontang (Thailand)",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"breadfruit, arbre Ã  pain, fruit a pain, chataignier, fruta de pan, arbor de pan, arbor del pan, pan de pobre, pan de ano, pan de todo el ano, pan de palo, pan de name, topan, tupan, mazapan, castana, marure, castano de Malabar, panapen, pana de pepitas, sukun, kelur, timbul, fruta pao, pao de massa, broodvrucht, broodboom, suku, kulur, kelor, kulor, sa-ke, ulu, kula, uto, uto-sore, kapiak, rimas, kamansi, sakÃ©Ã©, khnaÃ´r sÃ¢mloo, khanun-sampalor, sakÃª",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"broad bean, Windsor bean, faba bean, ackerbohne, pferde bohne, fÃ¨ve de Marais, fava, faveira, horse bean",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"broad bean, butter bean, lima bean, caraota de aÂo, frijol de media luna, frijol de monte, frijol de ratÃ³n, frijolillo, gros pois, candou, guaracara, haba, haricot de sieva, pira de aÂo, bean - broad",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"broad-leaved mahogany, mahogany, American mahogany, big-leafed mahogany, true mahogany, echtes Mahagoni, Mahagoni",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"broccoli, sprouting broccoli, spear cauliflower, calabrese, cape broccoli, winter, purple cauliflower, nine-star perennial broccoli",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"broom-corn, sorghum, sweet sorghum, chicken corn, sorgho, sorgo, ipwa, bachanta, tinkish, Hirse",13822.2,edible roots and tubers with high starch or inulin content nec fresh
brown mallet bark gum,4763.7,plums and sloes
"brown radiant knapweed, knapweed, vanleg knoppurt, almindelig knopurt, ahdekaunokki, brown knapweed, rÃ¶dklint, wiesen-flockenblume, jacea",1160.1,other nuts excluding wild edible nuts and groundnuts in shell nec
browntop millet,1008.4,millet
"buckthorn, alder buckthorn, Faulbaum, brakved, sprakved, braktorn, toste, trollhegg, tÃ¸rst, korpipaatsama, Frangulae cortex",1485.3,kenaf and other textile bast fibres raw or retted
"buckwheat, qiaomei, ogal, mite phapar, grecicha kul'turnaja, poganka, sarrasin, trigo sarraceno, fagopiro, echter Buchweizen, Buchweizen, Keidekorn, soba, bovete, bokvete, vanligt bovete, bokkveite, almindelig boghvede, viljatatar, Fagopyri semen, Fagopyri herba",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"buffalo bean, cow-itch, cowage velvet bean, cow itch, fogarate, gratey, hell fire bean, itchy bean, pica pica, pois velu, pois-gratter, velvet bean, mucuna ceniza, kavach, kaunch, alkushi, atmagupta, dulagondi, punaikkali, nasugunni, Juckbohne, jukboontje",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"buffalo gourd, calabazilla, Missouri gourd, stinking gourd, fetid gourd, wild gourd",1160.1,other nuts excluding wild edible nuts and groundnuts in shell nec
"buffalo grass, sesleria, antofora",2114.4,rape or colza seed
"buffalo grass, strand-buffelsgras, buffalo turf grass",596.6,bambara beans dry
"buffalo thorn, Cape thorn, blinkblaar-wag-'n-bietjie, Koopta (Konsogna), Ado kurkura (Amargna), Foch (Amargna), Gammo-gadie (Wolayetgna), buffelsdoring, umPhafa, umhlahlankosi, isilahla, umkhobonga, umlahlabantu, mphasamhala, mokgalo, moonaona, mukhalu, mutshetshete, omukaru, omukekete (Ovambo), aros, buffalo-thorn jujube, haak-en-steek-wag-'n-bietjie, mokgalwa, mokalabata, isilahlankosi, cat thorn, bogwood, katdoring",13822.2,edible roots and tubers with high starch or inulin content nec fresh
"bugle, common bugle, bugleweed, carpet bugle, erva de Sao Lourenco, ajuga, bugula, lingua de boi, azeviche, ajugaiba, erva ferrea",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
bulbous barley,3151.2,barley
"bulbous bluegrass, sweet tussock, paturin bulbeux, fienarola bulbosa, erva da febra bulbosa",6582.4,broad beans and horse beans green
"bur clover, trevo carrapico",22265.3,lettuce and chicory
"bur-reed, branched bur-reed, aufrechter igelkolben, kjempe-piggknopp, grenet pindsvineknop, smÃ¥frugtet pindsvineknop, haarapalpakko, kantvass, storigelknopp, vanlig storigelknopp, grenigelknopp",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"buriti palm, mauriti palm, aguaje palm, babinda, palmier bÃ¢che, carandai-guazÃº (Bolivia), ideuÃ­, canaguche, canangucho (Colombia, Ecuador), chomiya, buritÃ­, moriche (Colombia, Venezuela), morete (Ecuador), palma real (Bolivia), coqueiro anajÃ¡, inajazeiro, miritÃ­, muritÃ­, palmeira dos brejos, ite palm (Guyana), aguaje (Colombia, PerÃº), morichal (Colombia), buriti-do-brejo, coqueiro-buriti, buritizeiro, mangrove",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
burnet saxifrage,62208.5,sugar beet
burning bush,1719.2,lupins
"bush mango, African bush mango, wild mango, oba, ogbono",9920.2,mangoes guavas and mangosteens
"bush orange, corky bark, monkey orange, wild orange, sauer nut, geelklapper, mpera-mwitu, mtonga, kurkbasklapper",13822.2,edible roots and tubers with high starch or inulin content nec fresh
"bushman's tea, Abyssinian tea, boesmans tee, iwani, iGqwaka, umHlawazi, mutsvahari, inandinandi, chat, qat, kat, khat, gofa (Galinya), jima (Galinya), dat, Arabian tea, qaad (Somalia), jaad (Somalia)",1160.1,other nuts excluding wild edible nuts and groundnuts in shell nec
"bushveld signal grass, bosveld-beesgras",265.1,cloves whole stems raw
"butcher's broom, knee holm, jew'-myrtle, pettigree, pettigrue, fragon piquant, pungitopo, mussetorn, gilbardeira, jabardeira, erva dos vasculhos, brusca, murta espinhosa",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"butter bur, echte Pestwurz, Petasitidis folium, Petasiditisradix, pestskrÃ¥, pestilensrot, pestrot, skrÃ¥, Rote Pestwurz, Hjartabla&eth;ka (Iceland?), Etel&auml;nruttojuuri (Finish), R&oslash;d Hestehov (Danish), Tordenskr&aelig;ppe (Danish), L&aelig;kjepestro (Norwegian)",18548.6,chillies and peppers green capsicum spp and pimenta spp
"butterbur, arrowleaf butterbur",3675.6,true hemp raw or retted
"butterfly milkweed, butterfly-weed, chigger-weed, pleurisy root, orange milkweed, Indian paintbrush, orange swallow-wort",1160.1,other nuts excluding wild edible nuts and groundnuts in shell nec
butterwort,2412.5,jute raw or retted
button clover,7219.2,other fruits nec
"buttonwood, mangrove, zaragoza mangrove",9920.2,mangoes guavas and mangosteens
"bwa blan, bwa fwenn, doliv, fwenn, bitter damson, princess tree, simarouba, bois amer, quinquina dÂEurope, acajou blanc, daguilla, daguillo, gavilan, juan primero, laguilla olivio, palo amargo, Simaruba",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"cabbage gum, white sally",31296.7,cabbages
"cabbage, Shetland cabbage, Savoy cabbage, white cabbage, red cabbage, chou (Fr), repollo (Spanish), cavolo (Italian), kraut (German), kapeti kovu (Fiji), kapisi palangi (Tuvalu), kapisi, kebis",13822.2,edible roots and tubers with high starch or inulin content nec fresh
"cactus pear, prickly pear, fico d'india, turksvy",3229.8,chillies and peppers dry capsicum spp pimenta spp raw
"caimito, starapple, caimite, pomme surette, sawo ijo, sawo hejo, sawo kadu, sawu duren, pepulut, sataa appoen",3229.8,chillies and peppers dry capsicum spp pimenta spp raw
"calabas, tecomate, zucca, kalbas, qara', kalabasa, bian pu, pul qua, flaskegrÃ¦skar, kalabas, fleskalebas, flessepompoen, bird-house gourd, bottle gourd, calabash, calabash gourd, calabash marrow, guinea bean, hardshell gourd, hard-shell gourd, italian edible gourd, long squash, new guinea bean, suzza melon, tasmania bean, trumpet gourd, vegetable gourd, white flowered gourd, calebasse, calebassier, courge bouteille, gourde, FlaschenkÃ¼rbis, KalebassenkÃ¼rbis, TrompetenkÃ¼rbis, duma, qara, dudhi, dudi, ghia, ghiya, kaddis, kaddu, lauki, lokhi, louki, tumri, cocozza, cucuzzi, zucca bottiglia, zucca da nuoto, zucca da vino, hyoutan, maru-yougao, yougao, labu botol, labu putin, moraka, abÃ³bora carneira, cabaÃ§ca, colombro, kula, bule, calabaza de peregrinos, calabaza de San Roque, calabaza viÃ±adera, calabaza viÃ±atera, cojombro, upo, segwana, iselwa, fagufagu, fu'afu'a",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"calabur tree, capulin, ornamental cherry, Japanense cherry, Panama berry, Jamaican cherry, Singapore cherry, strawberry tree, jam tree, cerri, kersen, talok, calabura, paude seda, kerukup siam, datiles, krÃ¢khÃ´b barang, khoom sÃ´mz, takhÃ´b, takhop farang, trÃ¹ng cÃ , mÃ¢t sÃ¢m, calabur, sirsen",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"calamondin, China orange, golden time, jeruk peres, jeruk kasturi, jeruk potong, limau kesturi, limau chuit, kalamondin, kalamansi, limonsito, sommapit, somchit, manao-wan",13822.2,edible roots and tubers with high starch or inulin content nec fresh
"calamondin, calamansi, Panama orange, musk lime, lima moscada, limoeiro do Japao",670.3,cinnamon and cinnamontree flowers raw
"calamus, sweetflag, acore vrai, kalmus, bojo, kull, bach, makkalmoes, ikalamuzi, Rhizoma Calami mundatae, Rhizoma Calami crudae, Calami radix",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"caley pea, hairy bitter vetch, chÃ­caro hirsuto, pea - caley",2182.7,broad beans and horse beans dry
calopo,6725.2,apricots
"camel thorn, camel-thorn acacia, giraffe thorn, kameeldoring, swartkameel, kameldornakazie, nkayi, mogohlo, mosu, mokala, mogotlho, umwhohlo, omumbonde, //ganab, //ganas, motlhabakgosi, musivhitha, !leyie",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"camelina, false flax, gold-of-pleasure, gergelim bastardo, Siberian oilseed",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"camphor tree, camphor, Japanese camphor, camphrier, camphre, alcanforero, alcanfor, arbol del alcanfor, arvore da camphora, Ã¡rvore-da-camphora, xiang zhang shu, zhang, zhang shu, campher, kampferbaum, karpuram, karpoora, pacchakarpuram, albero della canfora, canfora, canforo, lauro canforo, kuso no ki, karpura, kapuur, kamfornii derevo, kamformii lavr, korihnik kamfornii, karpuramu, kafur, patckafur",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"cancer root, coakum, garget, ink berry, pigeon berry, pigeonberry, pocan, poke root, poke salad, pokeberry, pokeweed, scoke, wild spinach, tintureira, erva dos cachos da India, caruru de pomba, gaia-moca",13822.2,edible roots and tubers with high starch or inulin content nec fresh
"candelabra aloe, octopus plant, torch plant, krantz aloe, kraansaalwyn, inkalane, vlambos, dokgopha",13822.2,edible roots and tubers with high starch or inulin content nec fresh
"candle bush, candalabra bush, candle stick, craw craw plant, christmas candle shrub, empress candle plant, ringworm bush, ringworm shrub, roman candletree, senna, winged senna, Cassia Alatae Folium, andadasi, andadasi-ng-bugbugtong, andadasl-a-dadakkel, bai nicagi, cÃ¢y lÃ¢c, muÃ²ng trÃ¢u, chumhet thet, chumhet yai, dadmurdan, gelenggang, gamot sa buni, pakagonkon, katanda, katandang aso, kapurko, acapulko, akapulko, bayabas-bayabasab, ketepeng cina, la'au fai lafa, mulamula, pakayomkon kastila, ta si pho, te'elango",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"candlebark, ribbon gum, white gum",17031.8,lemons and limes
"candlenut, tuitui (Tonga), lama, Candle nut",27043.7,cantaloupes and other melons
"canihua, qaniwa, canahua",600.1,abaca manila hemp raw
"canna lily, fagamanu, gasau ni ga",6379.6,plantains and cooking bananas
"cantala, Bombay aloe, Cebu maguey, Manila maguey",600.1,abaca manila hemp raw
"canyon live oak, hickory oak, maul oak, golden-cup oak",22265.3,lettuce and chicory
cape gooseberry,4807.7,gooseberries
caper spurge,74950.6,sugar cane
"caper, caper bush, caper berry, cÃ¢pres, fabagelle, tapana, cÃ¢prier commun, cÃ¢prier Ã©pineux, cÃ¢prier, alcaparra, caparra, alcaparrÃ³n, akbaar, kabbar, achalfah, assaf, asef, ward al jabal, shafallah, lasaf, terloulout, taybult, amserlih, tsailih, tsailaoul, ouai lonlou, belachem, lussef, alcaparras, cappero, cappero dei muri, cappero spinoso, capperone, Kapernstrauch, Kaper, echter Kapernstrauch, kappara, kappers, kappertjes, kapricserje, kaporna, kapribogyÃ³, kebere, keber fidani, gebere, gebre otu, kapari, kapris, kÃ¡ppari, kapers, kapersy, torkav, kappar, kaporo, tzalaf, kiari, kobra, kabra, mullukattari, melada, kabarra, himsra, kokilakshmu, kabar, mruko, mchezo",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"capulin, capuli cherry, American cherry, capulin black cherry, capulin cherry, cerisier capulin, cereza, cereza comÃºn, guinda, capulÃ­, cerezo, cereza criolla, cereza de los Andes, muji, detsÃ©, detzÃ©, taunday, jonote, puan, palman, xengua, murmuntu, ussum, kapollinkirsche, Mexican traubenkirsche",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"carabeen, yellow carabeen, eslanea amarela",596.6,bambara beans dry
