,estimated_yield,matched_crop
"American joint vetch, bastard sensitive plant",6379.6,plantains and cooking bananas
Amor seco,794.7,safflower seed
Anabase,23316.9,bananas
"Andean lupin, South American lupin, sweet Bolivian lupine, pearl lupin, altramuz, chocho, lupino, raewi (Peru, Bolivia), tauri (Bolivia), chocho (Ecuador, Peru), chochito (Ecuador, Peru), cequela (Peru), chuchus (Bolivia), tarwi, tauri",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
Andean uvilla,80.1,vanilla raw
"Annunciation lily, Madonna lily, Mary lily, Bourbon lily, white lily, acucena, bastao de S. Jose', copo-de-leite",13822.2,edible roots and tubers with high starch or inulin content nec fresh
"Arizona cypress, cypres de l'Arizona, cedro do Arizona",2184.4,other stimulant spice and aromatic crops nec
"Aromo, Espinillo",1513.3,almonds in shell
Arrowroot,6725.2,apricots
Artillery plant,31617.7,eggplants aubergines
"Asian poke weed, edible pokeweed, Indian poke, phytolacca, poke root, endod, shang lu, thuwowng lujc, kermesbeere, kermesbÃ¤r",13822.2,edible roots and tubers with high starch or inulin content nec fresh
"Asiatic pennywort, Indian pennywort, marsh pennywort, tiger herbal, waternavel, gotu cola, water pennywort, hydrocotyle asiatique, centela, pegaga, trachiek kranh, duan Kaki Kuda, pegagan, antanan Gede, phak Nok, brahma-manduki, brahmi, min-kuabin, ghod Tapre, takip-kohol, tapingan-daga, hang-halo, icukudwane, totodro, tono, lapukapu, to'etupou, tona, tohetupou, bua bok, pa-na-e khaa-doh, phak wan, rau ma, lien tien thao, phae chen, tish tuyest tharo",13822.2,edible roots and tubers with high starch or inulin content nec fresh
Atlas lupine,1719.2,lupins
Aucher's grass,6403.1,cherries
"Australian beech, poplar box, red box gum, eucalipto faia",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"Australian blackwood, blackwood, swarthout",2182.7,broad beans and horse beans dry
"Australian mountain ash, Australian oak",6379.6,plantains and cooking bananas
Australian tallow wood,18842.2,cauliflowers and broccoli
"Ayacahuite pine, Mexican white pine, pinheiro de Aiacauite",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"Aztec pine, candlewood pine, pinheiro Azteca",27043.7,cantaloupes and other melons
Bakin gumbi,3155.1,mixed grain
"Balsam Fir, Gilead Fir, Fir Balsam, Fir Pine, Sapin, Silver Fir, Silver Pine, Balm of Gilead Tree, Canada Balsam",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"Barbados flowerfence, horsebean, Jerusalem-thorn, Mexican paloverde, sessaban",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
Bendee,755.1,beans dry
Biswal,860.6,sisal raw
Black catechu,1007.5,buckwheat
Black gidgee,16968.2,green garlic
Bladhi,755.1,beans dry
Blue mallow,2470.4,tallowtree seeds
BorojÃ³,3906.8,okra
Bottlebrush grass,6548.2,blueberries
Brack grass,860.6,sisal raw
"Bramble wattle, Gundabluey, Elegant wattle",1485.3,kenaf and other textile bast fibres raw or retted
"Brazil cherry, Surinam cherry, pitanga, cerise de Cayenne, cerisescotes, cerise carrÃ©e, ceremai belanda, dewandaru, mayom-farang",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"Brazil eugenia, Brazilian cherry, grumix-aneira of Brazil, Bois de nÃ¨fle, cerisier du BrÃ©sil, jambosier du BrÃ©sil, grumichama, grumixama, grumixameira",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"Brazil nut, para nut, noyer du BrÃ©sil, la noix du BrÃ©sil, el coquito del Brasil, castanha do Para, castanha do Brasil, castanheiro do para, die paranÃ¼sse, la noce del Brasile",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"Brazilian mahogany, bastard mahogany, crabwood, andiroba, andiroba-saruba, iandirova, carapa, requia",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"Brazilwood, sappanwood, sappan, pau-Brasil, sapao, pau de sapao, bois sappan, gango, sappan Wood Tree",18548.6,chillies and peppers green capsicum spp and pimenta spp
Breadnut tree,10207.0,string beans
Brown seed finger grass,2114.4,rape or colza seed
"Brussels sprouts, chou de Bruxelles (French), col de bruselas (Spanish), cavolini di Bruxelles (Italian)",6909.3,other berries and fruits of the genus vaccinium nec
Buffalo grass,794.7,safflower seed
"Burma creeper, Chinese honeysuckle, Rangoon creeper, dong preah phnom, vor romiet nhi, udani, bidani, cekluk, dok ung, khua hung, sa mang, akar dani, selimpas, niyog-niyogan, balitadham, tartaraok, cha mang, thai mong, lep mue nang, sur quan, qua giun, day giun, quar nac, mac giaogiun, may lang curong",1160.1,other nuts excluding wild edible nuts and groundnuts in shell nec
Bush rye,755.1,beans dry
Bushman grass,23316.9,bananas
"Calabrian pine, Calabrian cluster pine, pinheiro da Calabria",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"California bur clover, toothed medick, burr medick, trevo carrapico da California",1485.3,kenaf and other textile bast fibres raw or retted
"California live oak, Coast live oak, Encina, sobreiro da California",16846.9,leeks and other alliaceous vegetables
"California scrub oak, chaparro da California",1087.0,natural rubber in primary forms
"Calvary clover, hedgehog medick",2114.4,rape or colza seed
Camel's foot tree,1565.4,castor oil seeds
"Canada bluegrass, Canadian meadowgrass, paturin du Canada, erva da febra do Canada'",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"Canadian dwarf cornel, pudding-berry, bunchberry, bunchberry dogwood, dwarf dogwood, Canadian bunchberry, dogwood bunchberry, creeping dogwood, corniso anao do Canada'",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"Canadian fleabane, Kanadisches berufkraut, Kanadabinka, hestehamp, Kanadisk bakkestjerne, KanadankoiransilmÃ¤",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"Canary Islands pine, pinheiro das Canarias",13499.1,tangerines mandarins clementines
"Canistel, Egg fruit tree",9198.5,other citrus fruit nec
"Cape Water-hawthorn, waterblommetjie, vleikos, Cape pond weed, water hawthorn, Cape asparagus",1485.3,kenaf and other textile bast fibres raw or retted
"Cape ash, dog plum, essenhout, umgwenyezinja, umgwenya-wezinja, umnyamathi, uvungu, usimanaye, umanaye, inyamathi, mmidibidi, mudouma, mutovuma",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"Cape chestnut, wildekastaiing",3815.5,chestnuts in shell
"Caribbean pine, Caribbean pitch pine, Cuban pine, pinheiro de Cuba",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"Caribbean stylo, verano stylo, cheesy-toes, estilosantes do Caribe",27043.7,cantaloupes and other melons
Cat thyme,6042.1,other pome fruits
Caterpillar grass,1565.4,castor oil seeds
Caucasian blue-stem,480.5,cocoa beans
"Caucasian clover, Kura clover, honey clover, Pellett clover, trefle du Caucase, trevo do Caucaso, trebol del Caucaso",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
Celosia,530.6,melonseed
Centipede grass,8074.5,peas green
"Charab poplar, Hodung tree, bahan, peuplier des Indes, choupo da India",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"Chilean strawberry, beach strawberry, frutilla, morangueiro do Chile",13822.2,edible roots and tubers with high starch or inulin content nec fresh
"China fir, Chinese fir, abeto da China, arvore do Natal",670.3,cinnamon and cinnamontree flowers raw
"China jute, velvetleaf, velvet leaf, butter-print, pie-marker, piemarker, Indian mallow, Chinese lantern, malva blanca, malva de terciopelo, malva grande, yute de la China, jute de Chine, LindenblÃ¤ttrige SchÃ¶nmalve, Chinesische Jute, Chinesischer Hanf, Iuta cinese, swamp Chinese lantern, butterprint velvetleaf, chingma lantern, pie maker, buttonweed, butter print, velvet weed, Indian hemp, cotton weed, wild cotton, flower of an hour",13822.2,edible roots and tubers with high starch or inulin content nec fresh
"Chinaberry, China tree, Chinaball tree, Persian lilac, pride of India, Indian Lilac, bead tree, Texas umbrella tree",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
